comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
DI20240928055100-19112076,DI20240928055100,Desfilada de contrabandistes,"9/28/2024, 11:11:19 AM",2024-09-28 11:11:19,"Mira, una altra atraccio més pel turisme.",,,
DI20240928055100-19108671,DI20240928055100,La Ostia,"9/28/2024, 7:24:39 AM",2024-09-28 07:24:39,😂😂😂😂😂😂😂😂😂😂😂👍,,,
DI20240928055100-19107408,DI20240928055100,Pregunta,"9/28/2024, 5:48:55 AM",2024-09-28 05:48:55,"Y digo yo… Andorra que le debe importar esto? Que se preucupen las autoridades franco/españolas de sus contrabandistas.  Ellos llegan aqui compran de manera totalmente legal, la ilegalidad se comente en otro territorio no ? ",,,
DI20240928055100-19112152,DI20240928055100,Venuts,"9/28/2024, 11:17:11 AM",2024-09-28 11:17:11, Era així fins que al 99 ens van entregar per salvar lo seu.,19107408,,
DI20240928055100-19111923,DI20240928055100,Ram,"9/28/2024, 10:57:33 AM",2024-09-28 10:57:33,Estic totalment d acord ,19107408,,
DI20240928055100-19094993,DI20240928055100,Lluis,"9/28/2024, 5:21:35 AM",2024-09-28 05:21:35,"El tabac a 10 Km de les fronteres, així començarem a ser un país, no com ara de contrabandistes botiguers.",,,
DI20240928055100-19091165,DI20240928055100,Sandra,"9/28/2024, 5:19:59 AM",2024-09-28 05:19:59,Sra consol ha que està esperant per fer tancar les botigues de pas amb el departament d’interior ? O es que els seus amos no volen. Prou !!!!,,,
DI20240928055100-19007486,DI20240928055100,Perarnau,"9/28/2024, 4:44:58 AM",2024-09-28 04:44:58,Normalment no porten documents i diuen noms falsos. Per això se’ls agafa l’empremta i se’ls fa una fotografia. ,,,
DI20240928055100-19112163,DI20240928055100,Pagas tu???,"9/28/2024, 11:18:02 AM",2024-09-28 11:18:02,"Amb els impostos que tu pagues no dona per pagar 10 dies de preso, si els tanquem aqui, entre metges, revisions i menjar paguem 10000 per cada mes que estan a la comella….",19007486,,
DI20240928055100-18825528,DI20240928055100,Josep,"9/28/2024, 3:28:29 AM",2024-09-28 03:28:29,"El tabac i l'alcohol s'haurien de vendre en botigues especialitzades, i fora del radi de les fronteres.",,,
