id,datetime_added,journal,search_term,datetime_article,category,type,title,link,comment_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL202409270730-el-article,2024-09-27 10:30:28.036415,altaveu,el,2024-09-27 07:30:00,opinio,opinion,El camí cap a una administració més eficaç,https://www.altaveu.com/opinio/cami-cap-administracio-mes-eficac_60623_102.html,,,,,,,,
AL202409271019-la-article,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 10:19:00,estacions,article,Sortida pactada a la direcció general de Pal-Arinsal,https://www.altaveu.com/actualitat/estacions/sortida-pactada-direccio-general-pal-arinsal_60636_102.html,,,,,,,,
AL202409270944-la-article,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 09:44:00,successos,article,Un turista circulava amb més del doble d’alcohol permès amb la dona i els fills menors al cotxe,https://www.altaveu.com/actualitat/successos/turista-circulava-mes-doble-alcohol-permes-dona-fills-menors-cotxe_60635_102.html,,,,,,,,
AL202409270913-la-article,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,,,,,,,,
AL202409270913-la-226393,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,226393,Sr Bisbeee,Fa 1 hora,,Doncs Andorra prohibeix els pisos de final feliz.I a la Seu n està plé.Foteu riure,,1,1
AL202409270913-la-226376,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,226376,jose luis,Fa 3 hores,,"Vull que algú m'expliqui el que aquestes dones demanen, si tota la culpa és d'elles per quedar-se prenyades i no prendre mesures, jo crec que els altres no els hem de pagar l'avortament si la culpa és d'elles.",,4,6
AL202409270913-la-226394,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,226394,CLAR QUE SI HOME!,Fa 1 hora,,"Perquè la dona es queda prenyada sola, no? Per què les mesures anticonceptives l'ha de prendre la dona i no pas l'home? A part, l'avortament no només és per un embaràs no desitjat, també és per malformació del fetus, també és perquè la vida del nadó i de la dona pot corre risc, també per violacions perquè si rei, aquí al país també passa això. A veure sí, surti'm una mica d'aquesta borbolla. Si almenys fos legal... ja seria un gran pas.",,1,1
AL202409270913-la-226372,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,226372,Aneu al vostre país!,Fa 4 hores,,"Quina mandra escoltar sempre el mateix! Torneu a casa vostra, colla de feministes, i no molesteu a Andorra. Andorra té unes lleis i no es canviaran per quatre ""fulanes"" que volen que els governs els hi paguin acabar amb el fruit dels seus actes sexuals. A Andorra és defensa la vida i no s'assassina ningú perquè les ""mares"" prefereixin anar de llit en llit que ocupar-se dels seus fills, malgrat no sàpiguin ni qui són els seus pares... Prou avortaments, prou feministes, prou immigrants. A Andorra els andorrans sempre hem viscut bé fins que ha arribat tanta xusma d'importació.",,11,17
AL202409270913-la-226344,2024-09-27 10:30:28.036415,altaveu,la,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,226344,Carme,Fa 6 hores,,Bé que Andorra s'ha de fer càrrec d'un munt d'alturgellencs a nivell sanitari! i dubto molt que gaira gent acudeixi a la Seu per practicar un avortament.,,10,11
BO202409270100-el-article,2024-09-27 10:30:28.036415,bondia,el,2024-09-27 01:00:04,noticia,article,Jonathan López-Vera: “A l’elit política del Japó hi ha molts descendents de samurais”,https://www.bondia.ad/cultura/jonathan-lopez-vera-a-l-elit-politica-del-japo-hi-ha-molts-descendents-de-samurais,,,,,,,,
BO202409270010-el-article,2024-09-27 10:30:28.036415,bondia,el,2024-09-27 00:10:07,noticia,article,Mereixia millors padrins,https://www.bondia.ad/cultura/mereixia-millors-padrins,,,,,,,,
BO202409270000-el-article,2024-09-27 10:30:28.036415,bondia,el,2024-09-27 00:00:03,noticia,article,Prudència amb tocs d’ambició,https://www.bondia.ad/esports/prudencia-amb-tocs-d-ambicio,,,,,,,,
BO202409270100-la-article,2024-09-27 10:30:28.036415,bondia,la,2024-09-27 01:00:04,noticia,article,Jonathan López-Vera: “A l’elit política del Japó hi ha molts descendents de samurais”,https://www.bondia.ad/cultura/jonathan-lopez-vera-a-l-elit-politica-del-japo-hi-ha-molts-descendents-de-samurais,,,,,,,,
BO202409270010-la-article,2024-09-27 10:30:28.036415,bondia,la,2024-09-27 00:10:07,noticia,article,Mereixia millors padrins,https://www.bondia.ad/cultura/mereixia-millors-padrins,,,,,,,,
BO202409270000-la-article,2024-09-27 10:30:28.036415,bondia,la,2024-09-27 00:00:03,noticia,article,Prudència amb tocs d’ambició,https://www.bondia.ad/esports/prudencia-amb-tocs-d-ambicio,,,,,,,,
