id,datetime_added,journal,search_term,datetime_article,category,type,title,link,comment_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL202409271743-el-article,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:43:00,transport,article,Lleugeres modificacions en els horaris del bus lliure a partir del dilluns per millorar el servei,https://www.altaveu.com/actualitat/transport/lleugeres-modificacions-en-horaris-bus-lliure-partir-dilluns-millorar-servei_60651_102.html,,,,,,,,
AL202409271743-el-226406,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:43:00,transport,article,Lleugeres modificacions en els horaris del bus lliure a partir del dilluns per millorar el servei,https://www.altaveu.com/actualitat/transport/lleugeres-modificacions-en-horaris-bus-lliure-partir-dilluns-millorar-servei_60651_102.html,226406,Rhodas,Fa 10 hores,,"Al sembla correcta, pero apart de sempre posar al bussos com principal problema de tot, vrwc que també seria convenient coneixem la problemàtica del País en questio de la xarxa viària, també crec que acompanyant aquets lleigers canvi tal i com diu el article, les escoles també donessin una mica mes de marge per arribar i NO ser tant estrictes amb la hora de arribada, senyors estem en ANDORRA i la xarxa viària es la que es!",,5,0
AL202409271743-el-226416,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:43:00,transport,article,Lleugeres modificacions en els horaris del bus lliure a partir del dilluns per millorar el servei,https://www.altaveu.com/actualitat/transport/lleugeres-modificacions-en-horaris-bus-lliure-partir-dilluns-millorar-servei_60651_102.html,226416,Pare,Fa 8 hores,,Totalment d'acord amb tu. No pot ser que per 2 minuts de retard et deixen dues hores fora de la classe.,,2,0
AL202409271730-el-article,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,,,,,,,,
AL202409271730-el-226437,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,226437,Mia33,Fa 6 hores,,No quiero ni terminar de leer el texto como puede dar consejos a otros países cuando el suyo propio y lo está destrozando cuando una familia no podemos vivir y pagar un alquiler o pagamos el alquiler o comemos y la juventud tiene que marcharse del país por qué no gana en el suficientemente dinero como para vivir en su propio país de nacimiento. Es una vergüenza lo que está haciendo con su propio país y con los propios andorranos o sea que no quiero ni terminar de leer el texto,,5,2
AL202409271730-el-226436,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,226436,Mia33,Fa 6 hores,,Qué vergüenza que es de Consejos a otro país de esta manera cuando está destrozando el suyo no podemos mantener los de la familia la juventud se tiene que ir porque no gana para pagar un puto piso o paga piso o come las dos cosas imposible está destrozando su país y quiere dar refuerza los demás. Por favor esto es una vergüenza está destrozando el país,,3,2
AL202409271730-el-226428,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,226428,Jordi,Fa 6 hores,,"Home, si els hi diu l'Espot, segur que li faran cas.",,6,1
AL202409271730-el-226425,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,226425,andorrà,Fa 6 hores,,Lo tecnològic??? jajajajjajajaj Aqui s'inverteix molt poc i es deuría invertir molt més... no has parlat de les inversions immobiliàries? i ja que parlem de drets que passa amb la gent que no pot viure al seu pais perque els sous son misèria? au va nenet mimat... ves a fardar amb els amiguets al bar,,3,1
AL202409271730-el-226412,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,226412,Proy,Fa 8 hores,,Palestina es un estat,,5,6
AL202409271730-el-226410,2024-09-27 20:04:36.953173,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,226410,PER DONAR LLIÇONS ES TE DE TENIR PRIMER ELS MOBLES MOLT BEN ENDREÇATS I NO ES EL CAS.,Fa 8 hores,,"Estaria molt bé que fesis aquest discurs si a casa ho tinguesis tot escombrat i endreçat però no és així, MES VALDRIA QUE ARREGLESIS ELS PROBLEMES QUE TENS AL TEU PAIS QUE NO SON POCS, el pais cau a trossos darrera de les meravelloses TORRES no queda absolutament res ( curiosament són molt altes però el país està arrasat), molta gent sense poder accedir a un habitatge decent, molta gent després de la invasió sud-america sense poder accedir al mercat laboral perquè tots aquets treballant 2 a preu de 1 i si convé de il·legals i sense CASS, molta gent aturada però ven amagat que no se sàpiga, sense COBERTURA SANITARIA, ATUR I SENSE FEINA CLAR. Un país on l'economia no té una base sòlida i lo que sustentava els ingressos que era el COMERÇ està tot obsolet i acabat, sense cap innovació amb tecnologia i formació per poder reciclar a la gran quantitat de gent que perdrà la feina per no haver començat a fer un canvi de model econòmic quan tocava, sense futur per el joves perquè fora dels 3 bancs, ser funcionari no queda res més. Així que tenim al país tiritant i a verlas venir però anem a donar lliçons a fora quan aquí tot és un DRAMA GREC, d'això se'n diu començar la casa per la teulada",,16,2
