id,datetime_added,journal,search_term,datetime_article,category,type,title,link,comment_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
BO202409270010-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-27 00:10:07,noticia,article,Mereixia millors padrins,https://www.bondia.ad/cultura/mereixia-millors-padrins,,,,,,,,
BO202409270000-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-27 00:00:03,noticia,article,Prudència amb tocs d’ambició,https://www.bondia.ad/esports/prudencia-amb-tocs-d-ambicio,,,,,,,,
BO202409262149-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 21:49:54,noticia,article,Andorra aposta perquè Àfrica  sigui al Consell de Seguretat,https://www.bondia.ad/politica/andorra-aposta-perque-africa-sigui-al-consell-de-seguretat,,,,,,,,
BO202409262123-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 21:23:46,noticia,article,Primera trobada d'Espot amb el primer ministre de Portugal,https://www.bondia.ad/politica/primera-trobada-d-espot-amb-el-primer-ministre-de-portugal,,,,,,,,
BO202409262106-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 21:06:00,noticia,article,"El PS inclou el càncer, l’hepatitis C i el VIH al text de l’oblit sanitari",https://www.bondia.ad/politica/el-ps-inclou-el-cancer-l-hepatitis-c-i-el-vih-al-text-de-l-oblit-sanitari,,,,,,,,
BO202409262100-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 21:00:19,noticia,article,Astrié retreu la falta d’inversió i manca de resultats en habitatge,https://www.bondia.ad/societat/astrie-retreu-la-falta-d-inversio-i-manca-de-resultats-en-habitatge,,,,,,,,
BO202409262100-andorra-0,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 21:00:19,noticia,article,Astrié retreu la falta d’inversió i manca de resultats en habitatge,https://www.bondia.ad/societat/astrie-retreu-la-falta-d-inversio-i-manca-de-resultats-en-habitatge,0,Eva,,,Que retreu!? Serà l'herència que ha deixat Astrie amb la seva leydi lentejuelas Marsol a la cartera.. no es pot retreure amb un Comú just començant a legislar sinó s'haurà de deixar treballar i recuperar els fons perduts que eu deixat!!!,,,
BO202409261756-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 17:56:19,noticia,article,El Govern i Ski Andorra formalitzen la col·laboració en matèria formativa i de prevenció de riscos del personal de les pistes,https://www.bondia.ad/societat/el-govern-i-ski-andorra-formalitzen-la-col-laboracio-en-materia-formativa-i-de-prevencio-de-riscos-del-personal-de-les-pistes,,,,,,,,
BO202409261719-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 17:19:25,noticia,article,Ordino clou amb èxit la segona edició del Seminari Reserves de la Biosfera,https://www.bondia.ad/societat/ordino-clou-amb-exit-la-segona-edicio-del-seminari-reserves-de-la-biosfera,,,,,,,,
BO202409261631-andorra-article,2024-09-27 20:52:55.743010,bondia,andorra,2024-09-26 16:31:05,noticia,article,AE critica la inversió de 174.500 euros en un cub de pantalles per informar de l'acord amb la UE,https://www.bondia.ad/politica/ae-critica-la-inversio-de-174-500-euros-en-un-cub-de-pantalles-per-informar-de-l-acord-amb-la-ue,,,,,,,,
