id,datetime_added,journal,search_term,datetime_article,category,type,title,link,nb_of_comments
AL20240928112100,2024-09-28 12:55:02.038978,altaveu,andorra,2024-09-28 11:21:00,afers exteriors,article,Tor i la seva homòloga signen un conveni de no doble imposició entre Andorra i Romania,https://www.altaveu.com/actualitat/afers-exteriors/tor-seva-homologa-signen-conveni-no-doble-imposicio-entre-andorra-romania_60663_102.html,0
AL20240927195300,2024-09-28 12:55:02.038978,altaveu,andorra,2024-09-27 19:53:00,parroquies,article,Els promotors de Sa Calma Andorra estan rere l’adquisició de l’edifici de l’antiga fàbrica de CATSA,https://www.altaveu.com/actualitat/parroquies/promotors-calma-andorra-estan-rere-adquisicio-edifici-antiga-fabrica-catsa_60654_102.html,11
AL20240927171200,2024-09-28 12:55:02.038978,altaveu,andorra,2024-09-27 17:12:00,esport,article,La FIS proposa Andorra com a seu de la Copa del Món per als anys 2026 i 2027,https://www.altaveu.com/actualitat/esport/fis-proposa-andorra-com-seu-copa-mon-anys-2026-2027_60648_102.html,5
AL20240927164500,2024-09-28 12:55:02.038978,altaveu,andorra,2024-09-27 16:45:00,afers exteriors,article,Ensenyat reconeix que Andorra ha tingut un “creixement econòmic impensable sense els nouvinguts”,https://www.altaveu.com/actualitat/afers-exteriors/ensenyat-reconeix-andorra-ha-tingut-creixement-economic-impensable-sense-nouvinguts_60647_102.html,5
AL20240927131900,2024-09-28 12:55:02.038978,altaveu,andorra,2024-09-27 13:19:00,economia,article,Andorra exposa el projecte d’una àrea d’innovació a escala país en un congrés a Nairobi,https://www.altaveu.com/actualitat/economia/andorra-exposa-projecte-area-innovacio-escala-pais-en-congres-nairobi_60642_102.html,2
AL20240927114200,2024-09-28 12:55:02.038978,altaveu,andorra,2024-09-27 11:42:00,esport,article,Andorra no apareix en el calendari provisional de proves del Mundial de TrialGP del 2025,https://www.altaveu.com/actualitat/esport/andorra-no-apareix-en-calendari-provisional-proves-mundial-trialgp-2025_60638_102.html,13
AL20240927091300,2024-09-28 12:55:02.038978,altaveu,andorra,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,11
AL20240928112400,2024-09-28 12:55:02.038978,altaveu,la,2024-09-28 11:24:00,mobilitat,article,S’accidenta tot sol anant amb moto a la rotonda de l’Aldosa de la Massana,https://www.altaveu.com/actualitat/mobilitat/accidenta-tot-sol-anant-moto-rotonda-aldosa-massana_60664_102.html,1
AL20240927230100,2024-09-28 12:55:02.038978,altaveu,la,2024-09-27 23:01:00,medi ambient,article,Es fan bones les previsions meteorològiques i el Pas de la Casa s’emblanquina,https://www.altaveu.com/actualitat/medi-ambient/es-fan-bones-previsions-meteorologiques-pas-casa-emblanquina_60660_102.html,0
AL20240927220300,2024-09-28 12:55:02.038978,altaveu,la,2024-09-27 22:03:00,turisme,article,L’Skal Club reconeix la importància del Festival de Jazz d’Escaldes en el Dia mundial del Turisme,https://www.altaveu.com/actualitat/turisme/skaal-club-reconeix-importancia-festival-jazz-escaldes-en-dia-mundial-turisme_60639_102.html,0
AL20240927213400,2024-09-28 12:55:02.038978,altaveu,la,2024-09-27 21:34:00,politica,article,La llei òmnibus dona ales al moviment polític de dretes que voldria constituir-se com a partit,https://www.altaveu.com/actualitat/politica/llei-omnibus-dona-ales-moviment-politic-dretes-voldria-constituir-se-com-partit_60659_102.html,33
