id,datetime_added,journal,search_term,datetime_article,category,type,title,link,nb_of_comments
AL20240924184800,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-24 18:48:00,afers socials,article,La problemàtica de l’habitatge fa caure les sol·licituds d’ajuts per a l’emancipació dels joves,https://www.altaveu.com/actualitat/afers-socials/problematica-habitatge-fa-caure-sollicituds-ajuts-emancipacio-joves_60564_102.html,4
AL20240923122600,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-23 12:26:00,economia,article,El valor de la hipoteca mitjana per comprar un habitatge se situa en 310.000 euros,https://www.altaveu.com/actualitat/economia/valor-hipoteca-mitjana-comprar-habitatge-se-situa-en-310000-euros_60527_102.html,1
AL20240920114300,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-20 11:43:00,afers socials,article,La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos,https://www.altaveu.com/actualitat/afers-socials/coordinadora-habitatge-calcula-2023-hi-va-haver-950-casos-reals-trampes-abusos_60460_102.html,5
AL20240912191800,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-12 19:18:00,afers socials,article,Concòrdia i PS fan servir l’informe del Raonador per criticar la política d’habitatge del Govern,https://www.altaveu.com/actualitat/afers-socials/concordia-ps-fan-servir-informe-raonador-criticar-politica-habitatge-govern_60281_102.html,0
AL20240910152500,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-10 15:25:00,parroquies,article,Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge,https://www.altaveu.com/actualitat/parroquies/comuns-volen-rol-preponderant-iniciativa-aportar-solucions-en-materia-habitatge_60215_102.html,6
AL20240908122700,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-08 12:27:00,politica,article,"Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític",https://www.altaveu.com/actualitat/politica/acord-en-cercar-consens-confluencies-sobre-habitatge-europa-marcaran-curs-politic_60170_102.html,3
AL20240908101900,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-08 10:19:00,politica,article,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,https://www.altaveu.com/actualitat/politica/sindic-demana-accions-concretes-resultats-tangibles-afrontar-crisi-habitatge_60165_102.html,18
AL20240905174600,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-05 17:46:00,politica social,article,Designacions ‘exprés’ a l’Institut de l’Habitatge per evitar un bloqueig,https://www.altaveu.com/actualitat/politica-social/designacions-expres-institut-habitatge-evitar-bloqueig_60109_102.html,1
AL20240903220000,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-09-03 22:00:00,societat,article,Un dels ‘arquitectes de moda’ del país representarà els comuns a l’Institut Nacional de l’Habitatge,https://www.altaveu.com/actualitat/societat/arquitectes-moda-pais-representara-comuns-institut-nacional-habitatge_60062_102.html,3
AL20240823114600,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-08-23 11:46:00,afers socials,article,Els economistes alerten que “en tres anys no s’haurà resolt el problema de l’habitatge”,https://www.altaveu.com/actualitat/afers-socials/economistes-alerten-en-tres-anys-no-haura-resolt-problema-habitatge_59798_102.html,35
AL20240813113300,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-08-13 11:33:00,afers socials,article,La Coordinadora per l’Habitatge denuncia més de 40 casos de trampes i abusos,https://www.altaveu.com/actualitat/afers-socials/coordinadora-habitatge-denuncia-mes-40-casos-trampes-abusos_59600_102.html,17
AL20240802124300,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-08-02 12:43:00,politica,article,"Habitatge, model de país i el fet de governar pels rics amenacen la qualitat democràtica del país",https://www.altaveu.com/actualitat/politica/habitatge-model-pais-fet-governar-rics-amenacen-qualitat-democratica-pais_59390_102.html,8
AL20240731104900,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-07-31 10:49:00,afers socials,article,"L’Institut de l’Habitatge rep un miler de consultes de gener a juny, un 17% més que en tot el 2023",https://www.altaveu.com/actualitat/afers-socials/institut-habitatge-rep-miler-consultes-gener-juny-17-mes-en-tot-2023_59332_102.html,6
AL20240729184300,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-07-29 18:43:00,politica social,article,Govern invocarà la funció social de l’habitatge per ‘rescatar’ pisos buits i posar-los al mercat,https://www.altaveu.com/actualitat/politica-social/govern-invocara-funcio-social-habitatge-rescatar-pisos-buits-posar-los-mercat_59295_102.html,17
AL20240728120200,2024-09-28 19:34:33.961390,altaveu,habitatge,2024-07-28 12:02:00,afers socials,article,La comissió d’habitatge del PS alerta que “la gent continua patint i la preocupació no s’ha calmat”,https://www.altaveu.com/actualitat/afers-socials/comissio-habitatge-ps-alerta-la-gent-continua-patint-preocupacio-no-calmat_59150_102.html,9
