comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20240924184800-225965,AL20240924184800,David,Fa 3 dies,,Emancipación en La Seu.. o en el camping.,,3,1
AL20240924184800-225964,AL20240924184800,Mufló,Fa 3 dies,,No se'n demanen perquè no sou efectius. Apart que algun pis ja tenia nom i cognoms. 11 solicitud... no se si plorar o riure.,,3,0
AL20240924184800-225950,AL20240924184800,Pere,Fa 3 dies,,"Emancipar-se als 35 amb un contracte de lloguer de 5 anys…, Quina societat volem crear?  Es a dir fins al 40 anys no sabem el que volem fer amb la nostra vida?? I als 60 ens volem retirar?? Aquest es el model de país que volem?? Em perdonareu però la clase política d’avui NO te visió de País!! Només feu polítiques populistes per mantenir-vos en el poder. Esteu portan Andorra a deriva i endeutan les generacions futures.",,13,0
AL20240924184800-225973,AL20240924184800,Polítics nefastos i ineptes,Fa 3 dies,,"No, als 60 no, als 50 ja ets totalment invisible i per treballar als 45 ja no te vol ningú, escassament 15 anys de vida laboral, volen que la gent treballi fins els 67 anys i als 45 ja ets un residu de la societat, i la pregunta seria  DELS 45 FINS ALS 67 DE QUE VOLEN ELLS  QUE VIVIM DEL AIRE DEL CEL? No contracten a gent encara molt productiva però govern no ajuda absolutament amb res,  ja que ni al servei d'ocupació tenen programes per gent de mes de 45 anys, LA SUPER MINISTRA MARSOL SE’LS A CARREGAT  A FAVOR NO SE SAP MOLT BE DE QUE, AH SI DELS SUDAMERICANTS  A PREU PASTERA I ALS D’AQUI SENSE FEINA, SENSE CASS I SENSE CAP FUTUR, un altre dels greus problemes d’aquets país es la temporalitat no es produeix cap feina fixa, tot temporal, com es poden independitzar amb tanta precarietat laboral?",,5,0
AL20240923122600-225709,AL20240923122600,L'AIGUA AL COLL,Fa 5 dies,,"Ara només falta que la gent que cobra el sou mitjà ho pugui pagar. Perque fins a arribar a poder cobrar el sou mitjà, pagant el nivell de vida que hi ha i poder estalviar per poder posar, com a minim, el 20% d'una hipoteca, pot ser et plantes amb 40 o 45 anys i ja comences a tenir problemes per a que un banc accepti la hipoteca.",,18,0
AL20240920114300-225470,AL20240920114300,Jp,Fa 7 dies,,Juan Ramón crespo cap de govern,,1,0
AL20240920114300-225421,AL20240920114300,Escaldes,Fa 7 dies,,Farem un país de mantinguts. Llibera els contractes i es regularà sol. Les intervencions del govern provoca la situació que estem.,,5,3
AL20240920114300-225416,AL20240920114300,30000pisos,Fa 7 dies,,"Tenim en compte que hi han uns 30000 pisos de lloguer i que tenim suposadament 50 casos d’abus i la major part dels pisos estan a preu mes que asequible de que estem parlant? Facil de un 0,1% ja en hi ha prou! Per cert la major part dels pisos estan per sota dels 8 euros i govern es mes economic a preu assequible als 9 fins a 12 euros, DEMAGOGIA PURA.",,5,3
AL20240920114300-225409,AL20240920114300,Article tendenciós,Fa 7 dies,,Si aixo es aixi NO hi ha un problema rellevant,,4,2
AL20240920114300-225354,AL20240920114300,Magna,Fa 8 dies,,I després van amb el cap ben alt i criticant a altres…i van de patriotes…i tothom ha besar el terra que trpitgen com alguna de Sant Julià,,5,0
AL20240910152500-223822,AL20240910152500,Juan,Fa 17 dies,,"No sé ni per on començar: Endollar una persona que participa i encara està en concursos públics (malament), es reuniran cada dos mesos (amb calma , no fos cas que  haguessin de pensar ) , que vulguin intervenir més (millor seria suprimir tanta administració … quin estalvi més gran) i que diguin que volen eines més eficaces pels administrats (informàtica, potser que mirin com atenen a les persones, començant per Encamp on son entre maleducats i despòtics) … en fi !!! En despropòsit .",,7,0
AL20240910152500-223787,AL20240910152500,Esclat9,Fa 18 dies,,"Que dios nos pille confesados como le den poder a los comus para solucionar algo, no son capaces ni de solucionar los desmadres que tienen alli dentro como para solucionar los que tiene el pais.",,8,0
AL20240910152500-223782,AL20240910152500,Yomeamoamimismo,Fa 18 dies,,El tiempo que llevan..no le han prestado la atencion suficiente..y esto a llegado a donde a llegado..con prostitución..y contrabandistas..? Que esperaban ..con esos precios... prostitución para poder pagarlos...y el contrabando...? Que les voy a decir...que ustedes no sepan..? Querian gente de dinero...pues esa gente ...va con esto ...a sus espaldas...desde la subida tan enorme de los pisos...y todo lo demas .. ahí tienen..los efectos colaterales...no les bastaba con gente trabajadora..y que no quería tanto vicio...!! No !!..tenian que ir al robo...los youtubers..los futbolistas...y las nuevas generaciones de vagos con dinero..que quieren seguir ganando dinero sin esfuerzo...y sin falta de sus vicios caros...eso es el resultado de sus...( Malas acciones ) Ahora haber como arraglan este ( cacao,,6,1
AL20240910152500-223839,AL20240910152500,...,Fa 17 dies,,qué pereza de comentario con tanto '...',,0,1
AL20240910152500-223776,AL20240910152500,Sonia,Fa 18 dies,,"Ja era hora, que es posessin les piles... els darrers anys han passat de tot davant aquesta greu problemàtica.",,5,2
AL20240910152500-223741,AL20240910152500,Solucions com ls nova torre a la rotonda de la comella? Ja ja ja,Fa 18 dies,,"Aquet d'andorra ja la té la solució autoritzan un altre TORRE a la rotonda de la comella de 14 plantes, colla de hipòcrites tots plegats, dona igual si és DA ho SOCIALISTES tot és la mateixa xusma canvià la portada però interior igual de PODRIT",,15,2
AL20240908122700-223399,AL20240908122700,Pere,Fa 20 dies,,"El problema de DA es que creuen amb la seva veritat empírica i no escolten a ningú.  Aquest any el hi donaran el premi Nobel a tot, son els mes llestos.",,7,1
AL20240908122700-223441,AL20240908122700,Pere,Fa 20 dies,,Governar? però ja han començat a fer-ho?  Tu confons manar amb governar.  Tot depen si vols fer la foto per les proximes eleccions o quin país volen tenir d'aquí 15 anys.,,3,2
AL20240908122700-223405,AL20240908122700,Xd,Fa 20 dies,,"Em sembla que confoneu escoltar amb governar. Segur que si governés el ps o concòrdia escoltaria i aplicaria una política diferent a la seva? Com a St. Julià, no? XD que cinics...",,7,7
AL20240908101900-223483,AL20240908101900,Incapaç amb la Punjavi,Fa 20 dies,,I demana accions concretes Vivir para ver,,5,1
AL20240908101900-223442,AL20240908101900,Mufló,Fa 20 dies,,"Ja van donant per fet l'acord de la UE. O hi haurà tongo, o no se per on volen que surti el si.",,10,1
AL20240908101900-223411,AL20240908101900,Paraura de sindic,Fa 20 dies,,La persona més odiada d'Andorra,,12,2
AL20240908101900-223404,AL20240908101900,Fart de tot,Fa 20 dies,,"Parauletes del nen Jesús, t'ho prometo. Polítics milionaris que no sabran mai posar-se en la pell del ciutadà. Però mestres en discursos embolicades. Ells arribant a Meritxell en cotxe fins la porta,no la gent aparcant on poden o havent de pujar amb autobusos. Qui ha dit que el feudalisme ha desaparegut en aquesta societat?",,19,1
AL20240908101900-223390,AL20240908101900,Carles,Fa 20 dies,,"La posicio de Sindic hauria de ser ""neutral"" als Andorrans la seva perspectiva personal la cual per patrimoni interesa l'accord... No ens es necessaria. Com dirien al Consell, Gràcies senyor Sindic",,16,1
AL20240908101900-223382,AL20240908101900,Eric J.,Fa 20 dies,,"Espero el primer gest del Sr. Ensenyat de baixar els lloguers de tots els pisos de la seva propietat i dels seus familiars. Després espero que no especuli més amb els terrenys seus i de la seva família. A més, espero que doni tot el seu sou de Sindic a associacions per ajudar les famílies andorranes en dificultat. Accions concretes Sr. Síndic, accions concretes.",,52,0
AL20240908101900-223424,AL20240908101900,Habitatges everywhere,Fa 20 dies,,"Segur que continua vivint bé. La qüestió és que al Consell només hi ha empresaris i funcionaris, integrants d'una classe social que no s'han de preocupar pel seu nivell de vida. Al Consell manquen treballadors que sàpiguin que és viure amb el SMI.",,17,1
AL20240908101900-223394,AL20240908101900,Eric J.,Fa 20 dies,,"No m'importa si han gestionat malament i han perdut part de la seva fortuna. Segueix tenint molt més que la majoria dels andorrans junts i hauria de ser dels primers a fer esforços i mostrar aquestes accions concretes que ell demana. No tenen cap excusa, cap ni una.",,26,1
AL20240908101900-223389,AL20240908101900,Eric crec que estàs una mica peix,Fa 20 dies,,"Tu vols que te doni i rebaixi molta cosa però crec que no estàs molt al corrent de com estant les finances familiars, llegeix la  hemeroteca de la premsa dels veins i crec que te quedaras amb um pam de nas quan vegis de quans milions de pèrdues van els negocis d'aquesta gent",,5,19
AL20240908101900-223381,AL20240908101900,"Parole, parole, parole.",Fa 20 dies,,"El síndic és com aquella persona que no ha vist mai, ni en postal, el mar. No en sap res aquella persona,  igual com el síndic, una primeríssima fortuna del país, no pot saber, sentir ni entendre res sobre llogar un pis i pagar el lloguer.",,39,1
AL20240908101900-223380,AL20240908101900,Vergonyós,Fa 20 dies,,"El que és una veritable vergonya és que els famosos polítics arribin en cotxe a Meritxell i com que són molt superiors als comuns dels mortals, puguin estacionar allà dalt mateix i que la resta haguem de fer artilegis per trobar una plaça a la carretera i agafar el bus, pels que volen, o pujar a peus, fins a Meritxell. Senyors, sou els que hauríeu de donar exemple. Una vergonya. Ho havia de dir.",,26,0
AL20240908101900-223372,AL20240908101900,Quimet,Fa 20 dies,,"Mentre fa una promoció a 6.000 m2. Bravo Carles, coherència al màxim.",,35,1
AL20240908101900-223368,AL20240908101900,Pi,Fa 20 dies,,"Demana, demana ...",,13,1
AL20240908101900-223360,AL20240908101900,Pep,Fa 20 dies,,Fent un discurs populista que no se'l creu ni ell! Continua així medalletes!,,27,1
AL20240908101900-223350,AL20240908101900,Enric,Fa 20 dies,,"De moment el que esteu fent DA és que gent nascuda a Andorra o resident de fa una pila d'anys s'estigui començant a plantejar si val la pena continuar vivint a Andorra, especialment la gent de +55 anys que no té cap propietat perquè no ha pogut. Una pena no poder viure al teu país.",,44,0
AL20240908101900-223345,AL20240908101900,UN ANY MES SENTIR ELS SEUS DISCURSOS QUE SOLS SON VALITS PER ELS SEUS LLEPONS I TENTACLES,Fa 20 dies,,"Tots son lo mateix, no ni ha cap que valgui un duro, ells cada dia mes llustrosos i el poble cada dia mes empobrit, tota aquesta xusma es la que s’ha carregat la classe mitja per acabar se’n ells mes milionaris del que ja eren (Bueno, aquet segons la premsa dels veïns han quedat bastant arruïnats, clar que ja voldria jo la seva ruïna) si els i falla una cosa sempre tenen el mugró de l’altre mamella",,45,2
AL20240908101900-223343,AL20240908101900,Així de simple,Fa 20 dies,,"Pisos socials, i turístics fooooora!.",,17,3
AL20240908101900-223342,AL20240908101900,Narcís,Fa 20 dies,,per aixô vostè s'ha venut mig Encamp per fer pisos a preu asequibles no ?,,55,3
AL20240905174600-223040,AL20240905174600,Kiko,Fa 23 dies,,El Lluis es un gran arquitecte i una gran persona. No podien haver triat millor!,,1,12
AL20240903220000-222862,AL20240903220000,Juan,Fa 24 dies,,Arquitecte en exercici? I institut de l’habitatge ? S’ensuma endoll de manual.,,36,9
AL20240903220000-222857,AL20240903220000,carles,Fa 24 dies,,Quin desastre Deu meu... ho dic pel parc de l'ossa... 2 anys treballant i encara no està acabat i ja té l'estructura apuntalada perque no caigui,,51,9
AL20240903220000-222844,AL20240903220000,..,Fa 25 dies,,Quin desastre deu meu...ho dic sobre tot per St. Vinceç d'Enclar...,,56,12
AL20240823114600-221263,AL20240823114600,Maria,Fa 1 mes,,"La Ministra ens va prometre a mi i la meva família per eleccions que ella resoldria el problema, que la votessim, que sabia exactament què calia fer. Hem sento estafada.  Ademes ens ho va repetir durant les eleccions fins a la sacietat... I no només no ha resolt res, sinó que encara ho empitjorat. Es pésima, i a sobre está fent molt mal a DA el meu partit polític. Plega.",,15,0
AL20240823114600-221289,AL20240823114600,Menudo personatge està feta,Fa 1 mes,,"Aquesta SENYORA a fet molt mal a molta gent, va entrà allà dins al servei d'ocupacio i ho va fotre tot de potes en l'aire, anul·lant tots els programes que hi havia d'ocupacio per els mejor de 45 anys i deixant a molta gent de més de 50 anys al carrer sense feina, sense cobertura sanitària i sense prespectives de RES , i tot per mentir i fer creure de cara a la galeria que el atur havia desaparegut, però la molt poca vergonya per ajudar i facilitar la vida als Peruans per fer veure que ella és el salva vides de tots els mals amb aquets els a ajudat a tots i pensar que són els mateixos que han promogut la il·legalitat laboral de TRACA, ES DE UNA MALA GAITA IMPRESIONANT AQUESTA SENYORA PER DIR ALGUNA COSA",,16,1
AL20240823114600-221273,AL20240823114600,Josep,Fa 1 mes,,Ja ho pots ben dir... Que fàcil és fer promeses electorals sense tenir ni idea.,,8,0
