comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20240916175300-224727,AL20240916175300,didiesc,Fa 12 dies,,""" la formació ha expressat el ‘sí’ en el referèndum ? de veritat ?"" ... quina decepció ... ara si que esteu definitivament ""fora de mercat"" com a formació politica ...",,0,0
AL20240916175300-224606,AL20240916175300,Misco Jones,Fa 13 dies,,"Ara són de centre? SPD, l’arc de sant martí de l’espectre polític d’Andorra. Millor marxeu a casa, que feu peneta pidolant cadires amb qui sigui; que tant us fa el color que tinguin i per supossat, les idees.",,21,10
AL20240908122700-223399,AL20240908122700,Pere,Fa 21 dies,,"El problema de DA es que creuen amb la seva veritat empírica i no escolten a ningú.  Aquest any el hi donaran el premi Nobel a tot, son els mes llestos.",,7,1
AL20240908122700-223441,AL20240908122700,Pere,Fa 21 dies,,Governar? però ja han començat a fer-ho?  Tu confons manar amb governar.  Tot depen si vols fer la foto per les proximes eleccions o quin país volen tenir d'aquí 15 anys.,,3,2
AL20240908122700-223405,AL20240908122700,Xd,Fa 21 dies,,"Em sembla que confoneu escoltar amb governar. Segur que si governés el ps o concòrdia escoltaria i aplicaria una política diferent a la seva? Com a St. Julià, no? XD que cinics...",,7,7
AL20240905104400-223115,AL20240905104400,¡¡QUE BO!!,Fa 19 dies,,Però si mes enllà del certificat artificial que ja es tota una aventura dins de la jungla no teniu idea de res mes amb IA i aneu a signar lo que no sabeu ni com funciona,,0,0
AL20240905104400-223034,AL20240905104400,Javierin,Fa 19 dies,,"Però el Consell d'Europa no és aquell organisme que ens passem pel forro sempre que ens renyen per transparència, drets humans i corrupció? No sé perqué ara en fem cas.",,1,1
AL20240926204600-226321,AL20240926204600,PALLASOS!!!,Fa 2 dies,,"Les Nacions Unides es el organisme mes indecent i corrupte que hi ha al planeta, allà es on es couen les guerres que convé que continuïn i les que es tenen de aturar ( aquestes son poques) per acabar de concretar el contingent de armes que vendrà cada país, es un cost impressionant per els països i hores d’ara no he vist mai que aturin cap catàstrofe, mes aviat al contrari acabar de posar mes llenya al foc",,14,2
AL20240926204600-226284,AL20240926204600,Tamarrolandia,Fa 2 dies,,"A on vas amb aquest vestit, déu meu senyor, una mica d'humilitat nen.... I el rellotge??... També dels 200.000€???",,13,1
AL20240926204600-226325,AL20240926204600,Del muy monton,Fa 2 dies,,Dona igual el vestit que es posi  tant si es de 100€ com de 1000 € NO TE NI PERXA NI PORTE no es pot tenir tot aquesta vida  i de pas si vol començar a reserva ESTAMBUL  hora per fer un empelt capil·lar dons retardarem una mica la calba que ja es veu per tot arreu,,7,1
AL20240926204600-226302,AL20240926204600,Mufló,Fa 2 dies,,"Aquest personatge no coneix l'humiltat. Donde no hay, no busques que en diuen.",,10,0
AL20240925104400-226194,AL20240925104400,Sr Bisbeee,Fa 3 dies,,Algú del club s ha forrat amb aquestes pantalles.Encara més motiu per votar NO....Cada cop.ens ho fiqueu més fàcil.,,2,0
AL20240925104400-226192,AL20240925104400,Altres quotes de l'UE,Fa 3 dies,,"I seguim amb les despeses innecessàries... Realment cal forçar tant? On comença i acaba tota aquesta coacció que està promovent el Govern de DA? Cal aquesta estigmatizació per tota la gent que decidim que no volem o no estem d'acord amb com s'ha dut a terme tot aquest procès? El rol del polític no es el de procurar el benestar del poble? Amb que ens beneficia aquesta partida pressupostària? Deixeu de condicionar-nos i deixeu que la població voti de manera lliure i sense estar coaccionats...   Entenc que us salvarà a vosaltres el fet d'entrar perquè hipotecareu de per vida un país de 80000 persones, però la gran majoria diem NO! Que malament ho heu de fer per dependre d'entitats supranacionals, tenint en compte que Andorra viuen 80000 persones com a molt... Patètic!",,2,0
AL20240925104400-226162,AL20240925104400,Lampista,Fa 3 dies,,El peix ja está venut desde fa dos anys,,4,1
AL20240925104400-226100,AL20240925104400,Indignat,Fa 4 dies,,"és clar clar i després diuen que tenim cadascun de nosaltres un deute de 15.000 €, per pagar aquestes coses i la merda de font del Pont de la Tosca",,12,3
AL20240925104400-226088,AL20240925104400,Observador,Fa 4 dies,,"Si surt ""NO"" QUI ens to4nara els dinera nostres? I xk un stand x vendre el.si i no una x vendre el no? Xk fan servir els meus diners x comprar vots parcialment? Si es fa una partida ha de ser tant x el si com x el.no. per mi aixo es delicte",,13,3
AL20240925104400-226084,AL20240925104400,fart de tot,Fa 4 dies,,"Senyors, senyores.....no ens compliquem més l'existència, allò ja está establert.......es fará......referendum si referendum no.....es farà....ja li trobarán la volta a la cosa per a que es faci si o si. I mutis i a la gàbia.",,10,1
