id,datetime_added,journal,search_term,datetime_article,category,type,title,link,nb_of_comments
AL20240928185200,2024-09-29 15:41:39.308837,altaveu,europa,2024-09-28 18:52:00,esport,article,Jordina Caminal s’emporta la Copa de Sud-Amèrica i tindrà un dorsal privilegiat a les Copes d’Europa,https://www.altaveu.com/actualitat/esport/jordina-caminal-emporta-copa-sud-america-tindra-dorsal-privilegiat-copes-europa_60676_102.html,0
AL20240916175300,2024-09-29 15:41:39.308837,altaveu,europa,2024-09-16 17:53:00,politica,article,SDP advoca per un espai transversal de centre progressista perquè Andorra trobi el seu lloc a Europa,https://www.altaveu.com/actualitat/politica/sdp-advoca-espai-transversal-centre-progressista-perque-andorra-trobi-seu-lloc-europa_60365_102.html,2
AL20240908122700,2024-09-29 15:41:39.308837,altaveu,europa,2024-09-08 12:27:00,politica,article,"Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític",https://www.altaveu.com/actualitat/politica/acord-en-cercar-consens-confluencies-sobre-habitatge-europa-marcaran-curs-politic_60170_102.html,3
AL20240905104400,2024-09-29 15:41:39.308837,altaveu,europa,2024-09-05 10:44:00,afers exteriors,article,Pas endavant del conveni del Consell d’Europa sobre Intel·ligència Artificial ja signat per Andorra,https://www.altaveu.com/actualitat/afers-exteriors/pas-endavant-conveni-consell-europa-sobre-intelligencia-artificial-ja-signat-andorra_60098_102.html,2
AL20240926204600,2024-09-29 15:41:39.308837,altaveu,acord d'associació,2024-09-26 20:46:00,afers exteriors,article,Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt,https://www.altaveu.com/actualitat/afers-exteriors/espot-confia-en-suport-espanya-portugal-evitar-acord-associacio-es-declari-mixt_60630_102.html,4
AL20240925104400,2024-09-29 15:41:39.308837,altaveu,acord d'associació,2024-09-25 10:44:00,politica,article,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,https://www.altaveu.com/actualitat/politica/mes-174000-euros-cub-pantalles-led-resoldre-dubtes-acord-associacio_60571_102.html,17
AL20240920205600,2024-09-29 15:41:39.308837,altaveu,acord d'associació,2024-09-20 20:56:00,politica,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,31
AL20240919164500,2024-09-29 15:41:39.308837,altaveu,acord d'associació,2024-09-19 16:45:00,afers exteriors,article,La decisió sobre si l’acord d’associació és mixt o no podria arribar “abans de finals d’octubre”,https://www.altaveu.com/actualitat/afers-exteriors/decisio-sobre-si-acord-associacio-es-mixt-no-podria-arribar-abans-finals-octubre_60438_102.html,0
AL20240924171400,2024-09-29 15:41:39.308837,altaveu,pensions,2024-09-24 17:14:00,afers socials,article,El PS vol que les pensions dels residents a l’estranger també s’apugin amb l’IPC andorrà,https://www.altaveu.com/actualitat/afers-socials/ps-vol-pensions-residents-estranger-tambe-apugin-ipc-andorra_60558_102.html,0
AL20240904104100,2024-09-29 15:41:39.308837,altaveu,pensions,2024-09-04 10:41:00,administracio,article,"Justícia, cossos especials i assimilats només tindran una candidatura per triar pel pla de pensions",https://www.altaveu.com/actualitat/administracio/justicia-cossos-especials-assimilats-nomes-tindran-candidatura-triar-pla-pensions_60065_102.html,0
AL20240902193100,2024-09-29 15:41:39.308837,altaveu,pensions,2024-09-02 19:31:00,politica economica,article,L’Elisi avala que les pensions dels no residents s’actualitzin amb l’IPC europeu harmonitzat,https://www.altaveu.com/actualitat/politica-economica/elisi-avala-pensions-no-residents-actualitzin-ipc-europeu-harmonitzat_60036_102.html,3
AL20240925164000,2024-09-29 15:41:39.308837,altaveu,CASS,2024-09-25 16:40:00,sanitat,article,"La CASS tanca el primer semestre amb un dèficit sanitari de 15,7 milions d’euros",https://www.altaveu.com/actualitat/sanitat/cass-tanca-primer-semestre-deficit-sanitari-157-milions-euros_60584_102.html,14
AL20240928175800,2024-09-29 15:41:39.308837,altaveu,català,2024-09-28 17:58:00,cultura,article,Més gent i més vendes de literatura andorrana a la Setmana del Llibre en Català de Barcelona,https://www.altaveu.com/actualitat/cultura/mes-gent-mes-vendes-literatura-andorrana-setmana-llibre-en-catala-barcelona_60674_102.html,2
AL20240920135300,2024-09-29 15:41:39.308837,altaveu,català,2024-09-20 13:53:00,cultura,article,Prop de 200 obres d’Andorra i el Pirineu a la Setmana del llibre en català,https://www.altaveu.com/actualitat/cultura/prop-200-obres-andorra-pirineu-setmana-llibre-en-catala_60464_102.html,0
AL20240919073000,2024-09-29 15:41:39.308837,altaveu,català,2024-09-19 07:30:00,opinio,opinion,L’estratègia darrere el vot,https://www.altaveu.com/opinio/estrategia-darrere-vot_60368_102.html,2
