comment_id,comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes,search_term,article_title,input_text,predicted_label_code,predicted_label
0,AL20241006204100-227983,AL20241006204100,Conductor,Fa 18 minuts,,"El dissabte estava tornant a Andorra, y ja de nit en la zona del Kàrting el Pla un cotxe es va avançar quan jo estava al meu carril. En va fer llums per què me apartes. No vull dir les plaques d'on eren, però una mica de seny sí que faria falta. No entenc com te la pots jugar sabent que pots matar a algú que va tranquil·lament al seu carril perquè eres un prisas. Una mica més de consciència que jo també vull arribar a ma casa.",,2.0,0.0,Andorra,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,"[ARTICLE TITLE] Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó [COMMENT] El dissabte estava tornant a Andorra, y ja de nit en la zona del Kàrting el Pla un cotxe es va avançar quan jo estava al meu carril. En va fer llums per què me apartes. No vull dir les plaques d'on eren, però una mica de seny sí que faria falta. No entenc com te la pots jugar sabent que pots matar a algú que va tranquil·lament al seu carril perquè eres un prisas. Una mica més de consciència que jo també vull arribar a ma casa.",3.0,very-negative
1,AL20241006204100-227972,AL20241006204100,illa,Fa 1 hora,,"Ara que els Catalans disposanat de miles de millions , ja seria hora de fer una autovia cap al pirineu, que ens tenen oblidats.",,4.0,2.0,Andorra,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,"[ARTICLE TITLE] Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó [COMMENT] Ara que els Catalans disposanat de miles de millions , ja seria hora de fer una autovia cap al pirineu, que ens tenen oblidats.",3.0,very-negative
2,AL20241006204100-227980,AL20241006204100,Capitan araña,Fa 45 minuts,,"La independencia chupa muchos recursos económicos.., hay que pagar a waterloo y a toda la pandilla. Nunca se ha visto tanta pobreza en Cataluña....",,6.0,1.0,Andorra,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,"[ARTICLE TITLE] Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó [COMMENT] La independencia chupa muchos recursos económicos.., hay que pagar a waterloo y a toda la pandilla. Nunca se ha visto tanta pobreza en Cataluña....",2.0,negative
3,AL20241006204100-227962,AL20241006204100,Batdefu,Fa 1 hora,,"Carretera mal mantinguda, sense variants als pobles, linies que quan plou no es veuen, i ara per acabar-ho d’arrodonir retallen tots els dobles carrils,retallats un bon tros hi ha sobre amb el cediu el pas al costat esquerre, aquest hivern hi haura accidents a dojo (espero que no).Gracies al inutil que ha dissenyat aquest disbarat, aixo si corves amb discontinua que no hi ha visibilitat continuen sense corregir-les.",,10.0,1.0,Andorra,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,"[ARTICLE TITLE] Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó [COMMENT] Carretera mal mantinguda, sense variants als pobles, linies que quan plou no es veuen, i ara per acabar-ho d’arrodonir retallen tots els dobles carrils,retallats un bon tros hi ha sobre amb el cediu el pas al costat esquerre, aquest hivern hi haura accidents a dojo (espero que no).Gracies al inutil que ha dissenyat aquest disbarat, aixo si corves amb discontinua que no hi ha visibilitat continuen sense corregir-les.",3.0,very-negative
4,AL20241006204100-227990,AL20241006204100,Hater,Fa 2 minuts,,Si vas a 90 pocs accidents veuràs,,0.0,0.0,Andorra,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,[ARTICLE TITLE] Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó [COMMENT] Si vas a 90 pocs accidents veuràs,2.0,negative
5,AL20241006204100-227956,AL20241006204100,Sergi,Fa 2 hores,,Quantes morts en aquetl punt negre de Coll de Nargó! Tragics retorns. Recordem que la velocitat hi  reduida a 50 km hauria de passar a 30.,,2.0,7.0,Andorra,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,[ARTICLE TITLE] Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó [COMMENT] Quantes morts en aquetl punt negre de Coll de Nargó! Tragics retorns. Recordem que la velocitat hi  reduida a 50 km hauria de passar a 30.,1.0,neutral
6,AL20241006204100-227943,AL20241006204100,CIUTADANA,Fa 2 hores,,Ànims!!!,,4.0,1.0,Andorra,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,[ARTICLE TITLE] Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó [COMMENT] Ànims!!!,2.0,negative
7,BO20241006204700-0,BO20241006204700,ens,,,"Lo que no diu aquest ""expert"" es la manca absoluta i orquestrada de representants laborals a les empreses la qual cosa hauria de ser simplement obligatòria i no opcional. Llavors lo que diu aquest senyor igual seria factible.",,,,Andorra,Un expert en treball recepta la intervenció mínima del Govern en la negociació col·lectiva,"[ARTICLE TITLE] Un expert en treball recepta la intervenció mínima del Govern en la negociació col·lectiva [COMMENT] Lo que no diu aquest ""expert"" es la manca absoluta i orquestrada de representants laborals a les empreses la qual cosa hauria de ser simplement obligatòria i no opcional. Llavors lo que diu aquest senyor igual seria factible.",2.0,negative
8,DI20241006120400-20580713,DI20241006120400,Toni,"10/6/2024, 9:53:53 AM",2024-10-06 09:53:53,No deia la Marsol que hi havia 6000 pisos buits a Andorra? S’acaben les idees.,,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] No deia la Marsol que hi havia 6000 pisos buits a Andorra? S’acaben les idees.,1.0,neutral
9,DI20241006120400-20580569,DI20241006120400,Toni,"10/6/2024, 9:37:47 AM",2024-10-06 09:37:47,"A Andorra no falten pisos, sobra gent.",,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,"[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] A Andorra no falten pisos, sobra gent.",1.0,neutral
10,DI20241006120400-20581014,DI20241006120400,L,"10/6/2024, 10:17:18 AM",2024-10-06 10:17:18,"No sobran personas ,muchos inmigrantes sacan adelante el país trabajando más de 14 h al día y haciendo el trabajo que no quieren hacer los andorranos ",20580569,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,"[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] No sobran personas ,muchos inmigrantes sacan adelante el país trabajando más de 14 h al día y haciendo el trabajo que no quieren hacer los andorranos ",2.0,negative
11,DI20241006120400-20581288,DI20241006120400,Cona,"10/6/2024, 10:36:22 AM",2024-10-06 10:36:22,Mentira cochina….,20581014,,,Andorra,Andorra la Vella calcula en 230 els pisos buits a la parròquia,[ARTICLE TITLE] Andorra la Vella calcula en 230 els pisos buits a la parròquia [COMMENT] Mentira cochina….,1.0,neutral
