id,datetime_added,journal,search_term,datetime_article,category,type,title,link,nb_of_comments
AL20241007113800,2024-10-07 18:28:39.504157,altaveu,Andorra,2024-10-07 11:38:00,esport,article,L’FC Andorra es blinda al darrere: és l’equip menys golejat de la Primera RFEF,https://www.altaveu.com/actualitat/esport/fc-andorra-es-blinda-darrere-es-equip-menys-golejat-primera-rfef_60880_102.html,0
AL20241006204100,2024-10-07 18:28:39.504157,altaveu,Andorra,2024-10-06 20:41:00,successos,article,Una conductora d’Andorra resulta ferida en un accident a Coll de Nargó,https://www.altaveu.com/actualitat/successos/andorrana-ferida-accident-coll-nargo_60875_102.html,14
AL20241006140200,2024-10-07 18:28:39.504157,altaveu,Andorra,2024-10-06 14:02:00,parroquies,article,Andorra la Vella aposta per la màgia per dinamitzar el centre històric,https://www.altaveu.com/actualitat/parroquies/andorra-vella-aposta-magia-dinamitzar-centre-historic_60866_102.html,0
BO20241007163556,2024-10-07 18:28:39.504157,bondia,Andorra,2024-10-07 16:35:56,noticia,article,Pirineu Viu convoca una manifestació per l'habitatge el 6 de desembre a la Seu,https://www.bondia.ad/societat/pirineu-viu-convoca-una-manifestacio-per-l-habitatge-el-6-de-desembre-a-la-seu,0
BO20241007142503,2024-10-07 18:28:39.504157,bondia,Andorra,2024-10-07 14:25:03,noticia,article,"El tresor del Casi, a ca la Vall",https://www.bondia.ad/cultura/el-tresor-del-casi-a-ca-la-vall,1
BO20241007132400,2024-10-07 18:28:39.504157,bondia,Andorra,2024-10-07 13:24:00,noticia,article,Detingudes onze persones vinculades a l'operació contra el tràfic d'estupefaents del Tarter del gener,https://www.bondia.ad/successos/detingudes-onze-persones-vinculades-a-l-operacio-contra-el-trafic-d-estupefaents-del-tarter-del-gener,0
BO20241007131300,2024-10-07 18:28:39.504157,bondia,Andorra,2024-10-07 13:13:00,noticia,article,Nou pas cap a la implementació de l'expedient judicial electrònic,https://www.bondia.ad/societat/nou-pas-cap-a-la-implementacio-de-l-expedient-judicial-electronic,0
BO20241007130100,2024-10-07 18:28:39.504157,bondia,Andorra,2024-10-07 13:01:00,noticia,article,El PS demana al Govern per les manifestacions de la CEA sobre els treballadors que han de residir fora el país,https://www.bondia.ad/politica/el-ps-demana-al-govern-per-les-manifestacions-de-la-cea-sobre-els-treballadors-que-han-de-residir-fora-el-pais,0
BO20241007120800,2024-10-07 18:28:39.504157,bondia,Andorra,2024-10-07 12:08:00,noticia,article,MoraBanc estrena un nou servei d’On/Off per les targetes bancàries,https://www.bondia.ad/economia/morabanc-estrena-un-nou-servei-d-on-off-per-les-targetes-bancaries,0
BO20241007114100,2024-10-07 18:28:39.504157,bondia,Andorra,2024-10-07 11:41:00,noticia,article,La web d’Estadística incorpora noves funcionalitats i millores per facilitar l’experiència i la interacció dels usuaris,https://www.bondia.ad/noticia/la-web-d-estadistica-incorpora-noves-funcionalitats-i-millores-per-facilitar-l-experiencia-i-la-interaccio-dels-usuaris,0
