id,datetime_added,journal,search_term,datetime_article,category,type,title,link,comment_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
DI202409271118-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 11:18:00,nacional,article,Acció Feminista reclama la despenalització de l'avortament amb cobertura sanitària,https://www.diariandorra.ad/nacional/240927/accio-feminista-reclama-despenalitzacio-l-avortament-amb-cobertura-sanitaria_158906.html,,,,,,,,
DI202409271017-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 10:17:00,nacional,article,"Detingut un conductor accidentat amb 1,84 d'alcoholèmia i dos menors al cotxe",https://www.diariandorra.ad/nacional/240927/detingut-conductor-accidentat-amb-1-84-d-alcoholemia-i-dos-menors-cotxe_158905.html,,,,,,,,
DI202409270932-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 09:32:00,nacional,article,Trobat mort un home a una benzinera de l'avinguda Santa Coloma,https://www.diariandorra.ad/nacional/240927/trobat-mort-home-benzinera-l-avinguda-santa-coloma_158904.html,,,,,,,,
DI202409270648-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 06:48:00,nacional,article,Vacunat de llengua blava tot el ramat boví i oví del país,https://www.diariandorra.ad/nacional/240927/vacunat-llengua-blava-tot-ramat-bovi-i-ovi-pais_158903.html,,,,,,,,
DI202409270638-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 06:38:00,entreteniment,article,Caldes Festival. 'La salle d'attente',https://www.diariandorra.ad/entreteniment/240927/caldes-festival-salle-d-attente_158900.html,,,,,,,,
DI202409270624-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 06:24:00,nacional,article,Stop Violències s’uneix amb una entitat veneçolana proavortista,https://www.diariandorra.ad/nacional/240927/stop-violencies-s-uneix-amb-entitat-venecolana-proavortista_158895.html,,,,,,,,
DI202409270622-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 06:22:00,nacional,article,Govern i Ski Andorra s’alien per garantir la seguretat laboral a les pistes,https://www.diariandorra.ad/nacional/240927/govern-i-ski-andorra-s-alien-per-garantir-seguretat-laboral-les-pistes_158894.html,,,,,,,,
DI202409270606-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 06:06:00,opinio,opinion,Un perfecte ambaixador del català,https://www.diariandorra.ad/opinio/la-tribuna/240927/perfecte-ambaixador-catala_158887.html,,,,,,,,
DI202409270604-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 06:04:00,opinio,opinion,Prevenir el suïcidi,https://www.diariandorra.ad/opinio/foc-i-lloc/240927/prevenir-suicidi_158886.html,,,,,,,,
DI202409270554-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:54:00,nacional,article,El PS impulsa el dret a l’oblit sanitari al marge del Govern,https://www.diariandorra.ad/nacional/240927/ps-impulsa-dret-l-oblit-sanitari-marge-govern_158882.html,,,,,,,,
DI202409270552-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:52:00,nacional,article,Xavier Espot treu pit de l’“exemplaritat” d’Andorra a l’ONU,https://www.diariandorra.ad/nacional/240927/xavier-espot-treu-pit-l-exemplaritat-d-andorra-l-onu_158881.html,,,,,,,,
DI202409270549-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:49:00,nacional,article,Grandvalira modifica l’organigrama i nomena dos directors generals,https://www.diariandorra.ad/nacional/240927/grandvalira-modifica-l-organigrama-i-nomena-dos-directors-generals_158880.html,,,,,,,,
DI202409270547-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:47:00,nacional,article,Salut mental atén més de 3.000 adults el 2023,https://www.diariandorra.ad/nacional/240927/salut-mental-aten-mes-3-000-adults-2023_158879.html,,,,,,,,
DI202409270543-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:43:00,nacional,article,Els advocats s’uneixen contra l’abús de la presó provisional,https://www.diariandorra.ad/nacional/240927/els-advocats-s-uneixen-l-abus-preso-provisional_158878.html,,,,,,,,
DI202409270541-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:41:00,parroquies,article,Dards encreuats per l’habitatge i les inversions entre majoria i minoria,https://www.diariandorra.ad/parroquies/240927/dards-encreuats-per-l-habitatge-i-les-inversions-majoria-i-minoria_158877.html,,,,,,,,
DI202409270531-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:31:00,esports,article,“Sabem que podem fer coses importants”,https://www.diariandorra.ad/esports/240927/sabem-podem-fer-coses-importants_158873.html,,,,,,,,
DI202409270526-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:26:00,esports,article,Xavi Cardelús afronta el Gran Premi d’Indonèsia,https://www.diariandorra.ad/esports/240927/xavi-cardelus-afronta-gran-premi-d-indonesia_158870.html,,,,,,,,
DI202409270524-andorra-article,2024-09-27 11:58:59.391494,diari,andorra,2024-09-27 05:24:00,esports,article,Arriba el Trial clàssic coll de la Botella,https://www.diariandorra.ad/esports/240927/trial-classic-coll-botella_158868.html,,,,,,,,
