comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20240927174300-226406,AL20240927174300,Rhodas,Fa 13 hores,,"Al sembla correcta, pero apart de sempre posar al bussos com principal problema de tot, vrwc que també seria convenient coneixem la problemàtica del País en questio de la xarxa viària, també crec que acompanyant aquets lleigers canvi tal i com diu el article, les escoles també donessin una mica mes de marge per arribar i NO ser tant estrictes amb la hora de arribada, senyors estem en ANDORRA i la xarxa viària es la que es!",,5,0
AL20240927174300-226416,AL20240927174300,Pare,Fa 11 hores,,Totalment d'acord amb tu. No pot ser que per 2 minuts de retard et deixen dues hores fora de la classe.,,2,0
AL20240927173000-226437,AL20240927173000,Mia33,Fa 8 hores,,No quiero ni terminar de leer el texto como puede dar consejos a otros países cuando el suyo propio y lo está destrozando cuando una familia no podemos vivir y pagar un alquiler o pagamos el alquiler o comemos y la juventud tiene que marcharse del país por qué no gana en el suficientemente dinero como para vivir en su propio país de nacimiento. Es una vergüenza lo que está haciendo con su propio país y con los propios andorranos o sea que no quiero ni terminar de leer el texto,,5,2
AL20240927173000-226436,AL20240927173000,Mia33,Fa 8 hores,,Qué vergüenza que es de Consejos a otro país de esta manera cuando está destrozando el suyo no podemos mantener los de la familia la juventud se tiene que ir porque no gana para pagar un puto piso o paga piso o come las dos cosas imposible está destrozando su país y quiere dar refuerza los demás. Por favor esto es una vergüenza está destrozando el país,,3,2
AL20240927173000-226428,AL20240927173000,Jordi,Fa 8 hores,,"Home, si els hi diu l'Espot, segur que li faran cas.",,7,1
AL20240927173000-226425,AL20240927173000,andorrà,Fa 8 hores,,Lo tecnològic??? jajajajjajajaj Aqui s'inverteix molt poc i es deuría invertir molt més... no has parlat de les inversions immobiliàries? i ja que parlem de drets que passa amb la gent que no pot viure al seu pais perque els sous son misèria? au va nenet mimat... ves a fardar amb els amiguets al bar,,4,1
AL20240927173000-226412,AL20240927173000,Proy,Fa 11 hores,,Palestina es un estat,,6,6
AL20240927173000-226410,AL20240927173000,PER DONAR LLIÇONS ES TE DE TENIR PRIMER ELS MOBLES MOLT BEN ENDREÇATS I NO ES EL CAS.,Fa 11 hores,,"Estaria molt bé que fesis aquest discurs si a casa ho tinguesis tot escombrat i endreçat però no és així, MES VALDRIA QUE ARREGLESIS ELS PROBLEMES QUE TENS AL TEU PAIS QUE NO SON POCS, el pais cau a trossos darrera de les meravelloses TORRES no queda absolutament res ( curiosament són molt altes però el país està arrasat), molta gent sense poder accedir a un habitatge decent, molta gent després de la invasió sud-america sense poder accedir al mercat laboral perquè tots aquets treballant 2 a preu de 1 i si convé de il·legals i sense CASS, molta gent aturada però ven amagat que no se sàpiga, sense COBERTURA SANITARIA, ATUR I SENSE FEINA CLAR. Un país on l'economia no té una base sòlida i lo que sustentava els ingressos que era el COMERÇ està tot obsolet i acabat, sense cap innovació amb tecnologia i formació per poder reciclar a la gran quantitat de gent que perdrà la feina per no haver començat a fer un canvi de model econòmic quan tocava, sense futur per el joves perquè fora dels 3 bancs, ser funcionari no queda res més. Així que tenim al país tiritant i a verlas venir però anem a donar lliçons a fora quan aquí tot és un DRAMA GREC, d'això se'n diu començar la casa per la teulada",,19,2
AL20240927173000-226409,AL20240927173000,Toni Crescento,Fa 11 hores,,"Jajajaja, el Petit Prince, què bo!!",,14,2
AL20240927131900-226399,AL20240927131900,Endolls,Fa 13 hores,,La dona del consol de Canillo de passeig,,1,0
AL20240927131900-226386,AL20240927131900,NO FALTA AMBAIXADOR AQUÍ?,Fa 15 hores,,"Ja es extrany que DA no proclami a ningun pota negre lliure ambaixador aquí, serà que poder a hores d'ara ja no queda ningú per colocar i am TXETXÈNIA van fer el ple",,0,0
AL20240927114200-226389,AL20240927114200,On para Llumeneres?,Fa 15 hores,,No es el Comú qui ha de subvencionar un esdevenimebt com aquest sino un ministeri (Esports o Turlsme) perquè l'impacte es nacional,,9,2
AL20240927114200-226387,AL20240927114200,"Ni el trial , una llàstima",Fa 15 hores,,"Aquest talibanisme no porta enlloc. Ara son el Comú, no uns tertulians de bar ... una mica de responsabilitat.... i que no s'escudin en temes mediambientals, son només de politica per la politica.",,7,6
AL20240927114200-226385,AL20240927114200,Vassilious D,Fa 15 hores,,Quina pena! Jopeta!,,5,4
AL20240927114200-226380,AL20240927114200,Jordi,Fa 15 hores,,La muntanya ho agrairà!,,14,4
AL20240927114200-226366,AL20240927114200,motomami,Fa 17 hores,,que treballi el Bare Nostrum vol dir tot el poble ?,,14,7
AL20240927114200-226391,AL20240927114200,Marc,Fa 13 hores,,"No se tu, pero jo he vist el Muntanya, Eurocenter, La Passa, Vini Vidi Vici, Roses, Principat, Venecia plens aquell cap de setmana. Jo crec que doncs no es nomes el Bare Nostrum, et recordo que a la zona també hi son Art i pa i El Cantabric.",,7,0
AL20240927114200-226355,AL20240927114200,Oscar,Fa 18 hores,,Sant julia de loria te dos coses! La festa major i el mundial de trial! El comerciants del poble esperen aquestes dates cada any!! Ara ja nomes queda la festa major! Anims Cairat!! Fem un mundial de pasejar animals? Es el teu gran pasión!!!!,,16,6
AL20240927114200-226343,AL20240927114200,Jordi,Fa 18 hores,,"Ja aquest ultim trial, aquest nou comú nomes s’ha dedicat a posar-hi traves… es veia vindre aquesta situacio lamentable.. no calen auditories per visualitzar l’impacte economic als hotels, restaurants i establiments de la parroquia durant el cap de setmana del trial, nomes passejant pel carrer veies Sant Julià plena de gent, entre participants, familiars i turistes del trial la parroquia estava plena i costaba veure un bar que nomes passejant pel tingues la terrasa plena.. Aquest comú es basa en no fer res i eliminar les coses que funcionen sembla..",,17,4
AL20240927114200-226349,AL20240927114200,Jordi,Fa 18 hores,,"Poc vas passejar pel poble, perque ni lloc per dinar hi havia per molt que plogues.",,14,0
AL20240927114200-226348,AL20240927114200,mm,Fa 18 hores,,Va ploure tot el cap de setmana i el poble estava buit.,,2,12
AL20240927114200-226342,AL20240927114200,Sisco,Fa 18 hores,,"Millor, menys muntanya destrossada, ni les bicis de Pal haurien d' aparèixer!",,19,14
AL20240927114200-226341,AL20240927114200,W&F,Fa 19 hores,,I tan debò no tinguin l'autorització...prou barbàrie!,,18,16
AL20240927114200-226340,AL20240927114200,Marteta,Fa 19 hores,,Una altra cairatada més!!!,,15,3
AL20240927213400-226439,AL20240927213400,Pere,Fa 8 hores,,"DA ja pot fer les maletes. I si estimessin Andorra, plegarien demà.  Un partit condennat a la desaparició. Només falta saber quan volen fer durar l'agonia.",,6,1
AL20240927213400-226435,AL20240927213400,Lluís,Fa 8 hores,,"vergonya, vergonya, xavier espot, as deixat mitja andorra amb pròlogues de lloguer i sol·licitant una ajuda social per a un pis social, vés-te'n per favor, dimiteix i convoca eleccions.",,8,1
AL20240927213400-226434,AL20240927213400,Jesús Torrent,Fa 8 hores,,Completament d’acord amb les seves aspiracions pel bon esdevenir del país. La deriva europeista és perniciosa per la gent i interessada per uns pocs.,,11,2
AL20240927171200-226415,AL20240927171200,Fiu,Fa 11 hores,,"Per compensar la marranada, no?",,1,0
AL20240927130100-226374,AL20240927130100,Calla la boca,Fa 15 hores,,Cada vegada que parla aquest personatge tindria que emportarse 10 anys mes de comella. A callar la boca maco. No haguesis fet res. Ara a plorar solet i a les fosques. Ben a les fosques.,,10,0
AL20240927130100-226359,AL20240927130100,andorrà,Fa 17 hores,,"Cap tracte de favor ni rebaixes, a ser durs amb aquesta gent o altres sabran que aqui es fàcil atracar i acollonit a la gent. Percert un peça el nano eeee....",,16,0
AL20240927101900-226423,AL20240927101900,Quina vergonya,Fa 8 hores,,Dani amb els favors que t’he fet on vaig ara ?,,4,1
AL20240927101900-226407,AL20240927101900,Som pell,Fa 11 hores,,"La Massana que s’ho faci mirar, que el Credit Andorrà semblava el seu salvador i era un llop amb pell de corder. Que posin gent jove, que s’ho estimen i tenen gent preparada i amb ganes i no egòlatres setciencies.",,8,1
