index,comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes,article_type,topic,article_title,input_text
0,AL20240916175300-224727,AL20240916175300,didiesc,Fa 12 dies,,""" la formació ha expressat el ‘sí’ en el referèndum ? de veritat ?"" ... quina decepció ... ara si que esteu definitivament ""fora de mercat"" com a formació politica ...",,0.0,0.0,article,UE,SDP advoca per un espai transversal de centre progressista perquè Andorra trobi el seu lloc a Europa,"[ARTICLE TITLE] SDP advoca per un espai transversal de centre progressista perquè Andorra trobi el seu lloc a Europa "" la formació ha expressat el ‘sí’ en el referèndum ? de veritat ?"" ... quina decepció ... ara si que esteu definitivament ""fora de mercat"" com a formació politica ..."
1,AL20240916175300-224606,AL20240916175300,Misco Jones,Fa 13 dies,,"Ara són de centre? SPD, l’arc de sant martí de l’espectre polític d’Andorra. Millor marxeu a casa, que feu peneta pidolant cadires amb qui sigui; que tant us fa el color que tinguin i per supossat, les idees.",,21.0,10.0,article,UE,SDP advoca per un espai transversal de centre progressista perquè Andorra trobi el seu lloc a Europa,"[ARTICLE TITLE] SDP advoca per un espai transversal de centre progressista perquè Andorra trobi el seu lloc a Europa Ara són de centre? SPD, l’arc de sant martí de l’espectre polític d’Andorra. Millor marxeu a casa, que feu peneta pidolant cadires amb qui sigui; que tant us fa el color que tinguin i per supossat, les idees."
2,AL20240908122700-223399,AL20240908122700,Pere,Fa 21 dies,,"El problema de DA es que creuen amb la seva veritat empírica i no escolten a ningú.  Aquest any el hi donaran el premi Nobel a tot, son els mes llestos.",,7.0,1.0,article,UE,"Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític","[ARTICLE TITLE] Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític El problema de DA es que creuen amb la seva veritat empírica i no escolten a ningú.  Aquest any el hi donaran el premi Nobel a tot, son els mes llestos."
3,AL20240908122700-223441,AL20240908122700,Pere,Fa 21 dies,,Governar? però ja han començat a fer-ho?  Tu confons manar amb governar.  Tot depen si vols fer la foto per les proximes eleccions o quin país volen tenir d'aquí 15 anys.,,3.0,2.0,article,UE,"Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític","[ARTICLE TITLE] Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític Governar? però ja han començat a fer-ho?  Tu confons manar amb governar.  Tot depen si vols fer la foto per les proximes eleccions o quin país volen tenir d'aquí 15 anys."
4,AL20240908122700-223405,AL20240908122700,Xd,Fa 21 dies,,"Em sembla que confoneu escoltar amb governar. Segur que si governés el ps o concòrdia escoltaria i aplicaria una política diferent a la seva? Com a St. Julià, no? XD que cinics...",,7.0,7.0,article,UE,"Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític","[ARTICLE TITLE] Acord en cercar “consens” i “confluències” sobre habitatge i Europa, que marcaran el curs polític Em sembla que confoneu escoltar amb governar. Segur que si governés el ps o concòrdia escoltaria i aplicaria una política diferent a la seva? Com a St. Julià, no? XD que cinics..."
5,AL20240905104400-223115,AL20240905104400,¡¡QUE BO!!,Fa 19 dies,,Però si mes enllà del certificat artificial que ja es tota una aventura dins de la jungla no teniu idea de res mes amb IA i aneu a signar lo que no sabeu ni com funciona,,0.0,0.0,article,UE,Pas endavant del conveni del Consell d’Europa sobre Intel·ligència Artificial ja signat per Andorra,[ARTICLE TITLE] Pas endavant del conveni del Consell d’Europa sobre Intel·ligència Artificial ja signat per Andorra Però si mes enllà del certificat artificial que ja es tota una aventura dins de la jungla no teniu idea de res mes amb IA i aneu a signar lo que no sabeu ni com funciona
6,AL20240905104400-223034,AL20240905104400,Javierin,Fa 19 dies,,"Però el Consell d'Europa no és aquell organisme que ens passem pel forro sempre que ens renyen per transparència, drets humans i corrupció? No sé perqué ara en fem cas.",,1.0,1.0,article,UE,Pas endavant del conveni del Consell d’Europa sobre Intel·ligència Artificial ja signat per Andorra,"[ARTICLE TITLE] Pas endavant del conveni del Consell d’Europa sobre Intel·ligència Artificial ja signat per Andorra Però el Consell d'Europa no és aquell organisme que ens passem pel forro sempre que ens renyen per transparència, drets humans i corrupció? No sé perqué ara en fem cas."
7,AL20240926204600-226321,AL20240926204600,PALLASOS!!!,Fa 2 dies,,"Les Nacions Unides es el organisme mes indecent i corrupte que hi ha al planeta, allà es on es couen les guerres que convé que continuïn i les que es tenen de aturar ( aquestes son poques) per acabar de concretar el contingent de armes que vendrà cada país, es un cost impressionant per els països i hores d’ara no he vist mai que aturin cap catàstrofe, mes aviat al contrari acabar de posar mes llenya al foc",,14.0,2.0,article,UE,Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt,"[ARTICLE TITLE] Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt Les Nacions Unides es el organisme mes indecent i corrupte que hi ha al planeta, allà es on es couen les guerres que convé que continuïn i les que es tenen de aturar ( aquestes son poques) per acabar de concretar el contingent de armes que vendrà cada país, es un cost impressionant per els països i hores d’ara no he vist mai que aturin cap catàstrofe, mes aviat al contrari acabar de posar mes llenya al foc"
8,AL20240926204600-226284,AL20240926204600,Tamarrolandia,Fa 2 dies,,"A on vas amb aquest vestit, déu meu senyor, una mica d'humilitat nen.... I el rellotge??... També dels 200.000€???",,13.0,1.0,article,UE,Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt,"[ARTICLE TITLE] Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt A on vas amb aquest vestit, déu meu senyor, una mica d'humilitat nen.... I el rellotge??... També dels 200.000€???"
9,AL20240926204600-226325,AL20240926204600,Del muy monton,Fa 2 dies,,Dona igual el vestit que es posi  tant si es de 100€ com de 1000 € NO TE NI PERXA NI PORTE no es pot tenir tot aquesta vida  i de pas si vol començar a reserva ESTAMBUL  hora per fer un empelt capil·lar dons retardarem una mica la calba que ja es veu per tot arreu,,7.0,1.0,article,UE,Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt,[ARTICLE TITLE] Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt Dona igual el vestit que es posi  tant si es de 100€ com de 1000 € NO TE NI PERXA NI PORTE no es pot tenir tot aquesta vida  i de pas si vol començar a reserva ESTAMBUL  hora per fer un empelt capil·lar dons retardarem una mica la calba que ja es veu per tot arreu
